  0%|          | 0/60 [00:00<?, ?it/s]opts =  namespace(R=0.01, T=10000, args=Namespace(R='0.01', T='10000', algo='bloful', armtype=None, d='8', dataname='sphericalgaussian', lam=None, nTry='60', prefix=None, r='1', tuning_grid='1'), dataSeed=99, dataopts=namespace(N1=32, N2=32, R=0.01, S_2norm=0.04, armtype='gaussian', d1=8, d2=8, r=1), gSeed=119, lam=1.0, nTry=60, tuningGrid=1)

################################################################################
#----- tryIdx =     0
(la.norm(data.Th), la.norm(data.Th,2)) =  (0.04, 0.04)
data.expt_reward[0,0] =  -0.0030502725206897558
paramList =  [ParamBlOful(multiplier=0.01),
 ParamBlOful(multiplier=0.03162277660168379),
 ParamBlOful(multiplier=0.1),
 ParamBlOful(multiplier=0.31622776601683794),
 ParamBlOful(multiplier=1.0)]

#- paramIdx =     0
algoParam =  ParamBlOful(multiplier=0.01)
t=500, time=0.1, radius_sq= 0.0001, inst_reg=0.0016, cum_reg=0.9899
t=1000, time=0.2, radius_sq= 0.0001, inst_reg=0.0016, cum_reg=1.7879
t=1500, time=0.2, radius_sq= 0.0001, inst_reg=0.0016, cum_reg=2.5858
t=2000, time=0.3, radius_sq= 0.0001, inst_reg=0.0016, cum_reg=3.3838
t=2500, time=0.4, radius_sq= 0.0001, inst_reg=0.0016, cum_reg=4.1818
t=3000, time=0.5, radius_sq= 0.0001, inst_reg=0.0016, cum_reg=4.9798
t=3500, time=0.5, radius_sq= 0.0001, inst_reg=0.0016, cum_reg=5.7778
t=4000, time=0.6, radius_sq= 0.0001, inst_reg=0.0016, cum_reg=6.5758
t=4500, time=0.7, radius_sq= 0.0001, inst_reg=0.0016, cum_reg=7.3738
t=5000, time=0.8, radius_sq= 0.0001, inst_reg=0.0016, cum_reg=8.1718
t=5500, time=0.9, radius_sq= 0.0001, inst_reg=0.0016, cum_reg=8.9698
t=6000, time=0.9, radius_sq= 0.0001, inst_reg=0.0016, cum_reg=9.7678
t=6500, time=1.0, radius_sq= 0.0001, inst_reg=0.0016, cum_reg=10.5658
t=7000, time=1.1, radius_sq= 0.0001, inst_reg=0.0016, cum_reg=11.3638
t=7500, time=1.2, radius_sq= 0.0001, inst_reg=0.0016, cum_reg=12.1617
t=8000, time=1.2, radius_sq= 0.0001, inst_reg=0.0016, cum_reg=12.9597
t=8500, time=1.3, radius_sq= 0.0001, inst_reg=0.0016, cum_reg=13.7577
t=9000, time=1.4, radius_sq= 0.0001, inst_reg=0.0016, cum_reg=14.5557
